Location,Type,Place,Duration,Hour of Day,Day of Week,Person
Toilet,Flush,Bathroom,0:00:29,15,Tuesday,Person A
Basin,PIR,Bathroom,0:00:02,15,Tuesday,Person A
Cupboard,Magnetic,Kitchen,0:00:36,15,Tuesday,Person A
Cooktop,PIR,Kitchen,0:21:12,15,Tuesday,Person A
Microwave,Electric,Kitchen,0:07:40,15,Tuesday,Person A
Cupboard,Magnetic,Kitchen,0:01:12,15,Tuesday,Person A
Fridge,Magnetic,Kitchen,0:00:28,15,Tuesday,Person A
Cupboard,Magnetic,Kitchen,0:00:06,15,Tuesday,Person A
Fridge,Magnetic,Kitchen,0:00:05,15,Tuesday,Person A
Basin,PIR,Bathroom,0:01:03,15,Tuesday,Person A
Seat,Pressure,Living,0:25:54,15,Tuesday,Person A
Toilet,Flush,Bathroom,0:00:11,16,Tuesday,Person A
Seat,Pressure,Living,0:33:50,16,Tuesday,Person A
Basin,PIR,Bathroom,0:00:02,17,Tuesday,Person A
Toilet,Flush,Bathroom,0:00:25,17,Tuesday,Person A
Maindoor,Magnetic,Entrance,0:00:06,19,Tuesday,Person A
Maindoor,Magnetic,Entrance,0:00:06,20,Tuesday,Person A
Seat,Pressure,Living,4:51:39,20,Tuesday,Person A
Bed,Pressure,Bedroom,8:44:58,1,Wednesday,Person A
Shower,PIR,Bathroom,0:03:48,10,Wednesday,Person A
Cupboard,Magnetic,Kitchen,0:00:15,10,Wednesday,Person A
Fridge,Magnetic,Kitchen,0:00:15,10,Wednesday,Person A
Microwave,Electric,Kitchen,0:04:52,10,Wednesday,Person A
Toaster,Electric,Kitchen,0:03:48,10,Wednesday,Person A
Basin,PIR,Bathroom,0:01:43,10,Wednesday,Person A
Cabinet,Magnetic,Bathroom,0:00:03,10,Wednesday,Person A
Fridge,Magnetic,Kitchen,0:00:04,13,Wednesday,Person A
Seat,Pressure,Living,1:03:56,13,Wednesday,Person A
Toilet,Flush,Bathroom,0:00:32,14,Wednesday,Person A
Basin,PIR,Bathroom,0:00:02,14,Wednesday,Person A
Seat,Pressure,Living,0:20:24,14,Wednesday,Person A
Cooktop,PIR,Kitchen,0:15:42,14,Wednesday,Person A
Cupboard,Magnetic,Kitchen,0:00:10,14,Wednesday,Person A
Fridge,Magnetic,Kitchen,0:00:15,14,Wednesday,Person A
Fridge,Magnetic,Kitchen,0:00:04,14,Wednesday,Person A
Fridge,Magnetic,Kitchen,0:00:14,14,Wednesday,Person A
Seat,Pressure,Living,1:27:23,15,Wednesday,Person A
Basin,PIR,Bathroom,0:00:05,16,Wednesday,Person A
Fridge,Magnetic,Kitchen,0:00:04,16,Wednesday,Person A
Seat,Pressure,Living,1:19:23,16,Wednesday,Person A
Basin,PIR,Bathroom,0:00:03,18,Wednesday,Person A
Seat,Pressure,Living,0:41:26,18,Wednesday,Person A
Toilet,Flush,Bathroom,0:00:26,18,Wednesday,Person A
Seat,Pressure,Living,0:39:31,18,Wednesday,Person A
Toilet,Flush,Bathroom,0:00:25,19,Wednesday,Person A
Basin,PIR,Bathroom,0:00:06,19,Wednesday,Person A
Maindoor,Magnetic,Entrance,0:00:05,19,Wednesday,Person A
Maindoor,Magnetic,Entrance,0:00:05,20,Wednesday,Person A
Basin,PIR,Bathroom,0:00:09,20,Wednesday,Person A
Seat,Pressure,Living,5:20:24,20,Wednesday,Person A
Bed,Pressure,Bedroom,9:12:53,1,Thursday,Person A
Toilet,Flush,Bathroom,0:00:29,10,Thursday,Person A
Cabinet,Magnetic,Bathroom,0:00:05,10,Thursday,Person A
Basin,PIR,Bathroom,0:00:09,10,Thursday,Person A
Shower,PIR,Bathroom,0:13:45,10,Thursday,Person A
Toaster,Electric,Kitchen,0:02:44,11,Thursday,Person A
Cupboard,Magnetic,Kitchen,0:00:12,11,Thursday,Person A
Fridge,Magnetic,Kitchen,0:00:14,11,Thursday,Person A
Microwave,Electric,Kitchen,0:01:54,11,Thursday,Person A
Seat,Pressure,Living,2:58:56,11,Thursday,Person A
Basin,PIR,Bathroom,0:00:03,14,Thursday,Person A
Cooktop,PIR,Kitchen,0:22:25,14,Thursday,Person A
Microwave,Electric,Kitchen,0:06:50,14,Thursday,Person A
Fridge,Magnetic,Kitchen,0:00:29,14,Thursday,Person A
Fridge,Magnetic,Kitchen,0:00:04,14,Thursday,Person A
Seat,Pressure,Living,1:17:17,15,Thursday,Person A
Toilet,Flush,Bathroom,0:00:29,16,Thursday,Person A
Maindoor,Magnetic,Entrance,0:00:29,17,Thursday,Person A
Maindoor,Magnetic,Entrance,0:00:05,18,Thursday,Person A
Seat,Pressure,Living,0:15:31,18,Thursday,Person A
Basin,PIR,Bathroom,0:00:28,23,Thursday,Person A
Seat,Pressure,Living,1:24:00,23,Thursday,Person A
Basin,PIR,Bathroom,0:00:13,1,Friday,Person A
Seat,Pressure,Living,0:49:08,1,Friday,Person A
Basin,PIR,Bathroom,0:04:23,2,Friday,Person A
Bed,Pressure,Bedroom,9:59:24,2,Friday,Person A
Shower,PIR,Bathroom,0:04:21,12,Friday,Person A
Seat,Pressure,Living,2:08:42,12,Friday,Person A
Cooktop,PIR,Kitchen,0:17:48,14,Friday,Person A
Microwave,Electric,Kitchen,0:02:57,14,Friday,Person A
Fridge,Magnetic,Kitchen,0:00:05,14,Friday,Person A
Fridge,Magnetic,Kitchen,0:00:04,14,Friday,Person A
Seat,Pressure,Living,0:31:07,15,Friday,Person A
Basin,PIR,Bathroom,0:01:53,15,Friday,Person A
Seat,Pressure,Living,2:51:29,16,Friday,Person A
Fridge,Magnetic,Kitchen,0:00:06,19,Friday,Person A
Seat,Pressure,Living,1:44:55,19,Friday,Person A
Seat,Pressure,Living,3:54:37,21,Friday,Person A
Bed,Pressure,Bedroom,10:09:18,1,Saturday,Person A
Cabinet,Magnetic,Bathroom,0:00:03,11,Saturday,Person A
Basin,PIR,Bathroom,0:01:52,11,Saturday,Person A
Shower,PIR,Bathroom,0:02:50,12,Saturday,Person A
Toaster,Electric,Kitchen,0:03:16,12,Saturday,Person A
Cupboard,Magnetic,Kitchen,0:00:09,12,Saturday,Person A
Fridge,Magnetic,Kitchen,0:00:21,12,Saturday,Person A
Microwave,Electric,Kitchen,0:02:22,12,Saturday,Person A
Seat,Pressure,Living,1:07:06,12,Saturday,Person A
Basin,PIR,Bathroom,0:00:10,13,Saturday,Person A
Seat,Pressure,Living,0:31:32,13,Saturday,Person A
Basin,PIR,Bathroom,0:03:33,14,Saturday,Person A
Maindoor,Magnetic,Entrance,0:00:12,14,Saturday,Person A
Maindoor,Magnetic,Entrance,0:00:04,17,Saturday,Person A
Seat,Pressure,Living,2:47:27,17,Saturday,Person A
Maindoor,Magnetic,Entrance,0:00:18,20,Saturday,Person A
Seat,Pressure,Living,3:15:09,20,Saturday,Person A
Seat,Pressure,Living,3:20:55,23,Saturday,Person A
Bed,Pressure,Bedroom,9:18:32,3,Sunday,Person A
Cabinet,Magnetic,Bathroom,0:00:04,12,Sunday,Person A
Basin,PIR,Bathroom,0:01:08,12,Sunday,Person A
Shower,PIR,Bathroom,0:03:59,12,Sunday,Person A
Fridge,Magnetic,Kitchen,0:00:12,12,Sunday,Person A
Cupboard,Magnetic,Kitchen,0:00:12,12,Sunday,Person A
Microwave,Electric,Kitchen,0:02:05,12,Sunday,Person A
Toaster,Electric,Kitchen,0:01:50,12,Sunday,Person A
Seat,Pressure,Living,0:57:17,13,Sunday,Person A
Maindoor,Magnetic,Entrance,0:00:04,14,Sunday,Person A
Maindoor,Magnetic,Entrance,0:00:04,16,Sunday,Person A
Seat,Pressure,Living,0:51:39,16,Sunday,Person A
Fridge,Magnetic,Kitchen,0:00:05,17,Sunday,Person A
Seat,Pressure,Living,0:16:40,17,Sunday,Person A
Basin,PIR,Bathroom,0:00:04,17,Sunday,Person A
Seat,Pressure,Living,0:49:24,18,Sunday,Person A
Toilet,Flush,Bathroom,0:00:27,18,Sunday,Person A
Basin,PIR,Bathroom,0:00:03,18,Sunday,Person A
Fridge,Magnetic,Kitchen,0:00:06,18,Sunday,Person A
Seat,Pressure,Living,3:20:55,19,Sunday,Person A
Toilet,Flush,Bathroom,0:00:28,22,Sunday,Person A
Basin,PIR,Bathroom,0:00:12,22,Sunday,Person A
Seat,Pressure,Living,3:05:50,22,Sunday,Person A
Basin,PIR,Bathroom,0:00:05,1,Monday,Person A
Bed,Pressure,Bedroom,10:13:45,1,Monday,Person A
Toilet,Flush,Bathroom,0:00:30,11,Monday,Person A
Basin,PIR,Bathroom,0:00:08,11,Monday,Person A
Shower,PIR,Bathroom,0:07:33,12,Monday,Person A
Cupboard,Magnetic,Kitchen,0:00:06,12,Monday,Person A
Fridge,Magnetic,Kitchen,0:00:31,12,Monday,Person A
Toaster,Electric,Kitchen,0:01:56,12,Monday,Person A
Microwave,Electric,Kitchen,0:02:03,12,Monday,Person A
Fridge,Magnetic,Kitchen,0:00:04,12,Monday,Person A
Basin,PIR,Bathroom,0:00:06,14,Monday,Person A
Maindoor,Magnetic,Entrance,0:00:25,14,Monday,Person A
Maindoor,Magnetic,Entrance,0:00:06,14,Monday,Person A
Fridge,Magnetic,Kitchen,0:03:03,14,Monday,Person A
Cupboard,Magnetic,Kitchen,0:00:15,15,Monday,Person A
Cooktop,PIR,Kitchen,0:20:35,15,Monday,Person A
Microwave,Electric,Kitchen,0:12:57,15,Monday,Person A
Fridge,Magnetic,Kitchen,0:00:04,15,Monday,Person A
Fridge,Magnetic,Kitchen,0:00:06,15,Monday,Person A
Fridge,Magnetic,Kitchen,0:00:04,15,Monday,Person A
Fridge,Magnetic,Kitchen,0:00:10,15,Monday,Person A
Cupboard,Magnetic,Kitchen,0:00:04,15,Monday,Person A
Seat,Pressure,Living,0:17:14,15,Monday,Person A
Seat,Pressure,Living,0:37:17,16,Monday,Person A
Maindoor,Magnetic,Entrance,0:00:06,17,Monday,Person A
Maindoor,Magnetic,Entrance,0:00:05,18,Monday,Person A
Seat,Pressure,Living,0:22:20,19,Monday,Person A
Fridge,Magnetic,Kitchen,0:00:05,19,Monday,Person A
Seat,Pressure,Living,0:42:57,19,Monday,Person A
Basin,PIR,Bathroom,0:00:15,20,Monday,Person A
Seat,Pressure,Living,0:46:05,20,Monday,Person A
Basin,PIR,Bathroom,0:00:06,21,Monday,Person A
Basin,PIR,Bathroom,0:00:16,21,Monday,Person A
Seat,Pressure,Living,3:31:10,21,Monday,Person A
Toilet,Flush,Bathroom,0:00:27,0,Tuesday,Person A
Basin,PIR,Bathroom,0:00:06,0,Tuesday,Person A
Bed,Pressure,Bedroom,9:24:43,0,Tuesday,Person A
Basin,PIR,Bathroom,0:00:03,11,Tuesday,Person A
Cabinet,Magnetic,Bathroom,0:00:03,11,Tuesday,Person A
Basin,PIR,Bathroom,0:01:37,11,Tuesday,Person A
Shower,PIR,Bathroom,0:13:38,11,Tuesday,Person A
Toaster,Electric,Kitchen,0:03:07,11,Tuesday,Person A
Cupboard,Magnetic,Kitchen,0:00:24,11,Tuesday,Person A
Fridge,Magnetic,Kitchen,0:00:31,11,Tuesday,Person A
Microwave,Electric,Kitchen,0:01:15,11,Tuesday,Person A
Seat,Pressure,Living,2:58:16,11,Tuesday,Person A
Cupboard,Magnetic,Kitchen,0:00:21,14,Tuesday,Person A
Cooktop,PIR,Kitchen,0:19:42,14,Tuesday,Person A
Microwave,Electric,Kitchen,0:09:49,14,Tuesday,Person A
Fridge,Magnetic,Kitchen,0:00:05,14,Tuesday,Person A
Fridge,Magnetic,Kitchen,0:00:05,14,Tuesday,Person A
Fridge,Magnetic,Kitchen,0:00:04,14,Tuesday,Person A
Basin,PIR,Bathroom,0:01:57,15,Tuesday,Person A
Seat,Pressure,Living,1:49:18,15,Tuesday,Person A
Toilet,Flush,Bathroom,0:00:27,17,Tuesday,Person A
Seat,Pressure,Living,0:46:52,17,Tuesday,Person A
Basin,PIR,Bathroom,0:00:12,18,Tuesday,Person A
Seat,Pressure,Living,1:14:57,18,Tuesday,Person A
Fridge,Magnetic,Kitchen,0:00:05,19,Tuesday,Person A
Basin,PIR,Bathroom,0:00:24,19,Tuesday,Person A
Seat,Pressure,Living,4:27:10,19,Tuesday,Person A
Basin,PIR,Bathroom,0:00:10,0,Wednesday,Person A
Seat,Pressure,Living,0:46:40,0,Wednesday,Person A
Toilet,Flush,Bathroom,0:00:24,0,Wednesday,Person A
Bed,Pressure,Bedroom,9:45:44,0,Wednesday,Person A
Cabinet,Magnetic,Bathroom,0:00:05,10,Wednesday,Person A
Basin,PIR,Bathroom,0:13:29,10,Wednesday,Person A
Shower,PIR,Bathroom,0:05:41,11,Wednesday,Person A
Toaster,Electric,Kitchen,0:02:49,11,Wednesday,Person A
Cupboard,Magnetic,Kitchen,0:00:17,11,Wednesday,Person A
Fridge,Magnetic,Kitchen,0:00:14,11,Wednesday,Person A
Microwave,Electric,Kitchen,0:03:54,11,Wednesday,Person A
Seat,Pressure,Living,2:33:12,11,Wednesday,Person A
Cupboard,Magnetic,Kitchen,0:00:08,14,Wednesday,Person A
Cooktop,PIR,Kitchen,0:17:40,14,Wednesday,Person A
Microwave,Electric,Kitchen,0:08:55,14,Wednesday,Person A
Fridge,Magnetic,Kitchen,0:00:06,14,Wednesday,Person A
Fridge,Magnetic,Kitchen,0:00:05,14,Wednesday,Person A
Cupboard,Magnetic,Kitchen,0:00:04,14,Wednesday,Person A
Fridge,Magnetic,Kitchen,0:00:05,14,Wednesday,Person A
Seat,Pressure,Living,0:46:04,14,Wednesday,Person A
Basin,PIR,Bathroom,0:00:18,15,Wednesday,Person A
Seat,Pressure,Living,0:39:13,15,Wednesday,Person A
Basin,PIR,Bathroom,0:05:43,16,Wednesday,Person A
Maindoor,Magnetic,Entrance,0:00:07,16,Wednesday,Person A
Maindoor,Magnetic,Entrance,0:00:06,18,Wednesday,Person A
Basin,PIR,Bathroom,0:00:03,18,Wednesday,Person A
Seat,Pressure,Living,1:05:55,18,Wednesday,Person A
Fridge,Magnetic,Kitchen,0:00:05,19,Wednesday,Person A
Cupboard,Magnetic,Kitchen,0:00:03,19,Wednesday,Person A
Fridge,Magnetic,Kitchen,0:00:05,19,Wednesday,Person A
Cupboard,Magnetic,Kitchen,0:00:01,20,Wednesday,Person A
Fridge,Magnetic,Kitchen,0:00:05,20,Wednesday,Person A
Toilet,Flush,Bathroom,0:00:28,20,Wednesday,Person A
Seat,Pressure,Living,0:02:06,20,Wednesday,Person A
Seat,Pressure,Living,2:27:07,20,Wednesday,Person A
Basin,PIR,Bathroom,0:00:16,23,Wednesday,Person A
Seat,Pressure,Living,2:12:16,23,Wednesday,Person A
Bed,Pressure,Bedroom,9:34:48,1,Thursday,Person A
Basin,PIR,Bathroom,0:00:11,11,Thursday,Person A
Cabinet,Magnetic,Bathroom,0:00:03,11,Thursday,Person A
Basin,PIR,Bathroom,0:00:03,11,Thursday,Person A
Shower,PIR,Bathroom,0:04:55,11,Thursday,Person A
Toaster,Electric,Kitchen,0:03:13,11,Thursday,Person A
Cupboard,Magnetic,Kitchen,0:00:21,11,Thursday,Person A
Fridge,Magnetic,Kitchen,0:00:21,11,Thursday,Person A
Cooktop,PIR,Kitchen,0:01:57,11,Thursday,Person A
Microwave,Electric,Kitchen,0:01:49,11,Thursday,Person A
Seat,Pressure,Living,2:05:10,11,Thursday,Person A
Basin,PIR,Bathroom,0:00:12,14,Thursday,Person A
Maindoor,Magnetic,Entrance,0:00:04,14,Thursday,Person A
Maindoor,Magnetic,Entrance,0:00:04,16,Thursday,Person A
Seat,Pressure,Living,5:48:56,16,Thursday,Person A
Basin,PIR,Bathroom,0:00:14,22,Thursday,Person A
Seat,Pressure,Living,0:58:23,22,Thursday,Person A
Basin,PIR,Bathroom,0:00:18,23,Thursday,Person A
Seat,Pressure,Living,1:48:32,23,Thursday,Person A
Basin,PIR,Bathroom,0:01:19,1,Friday,Person A
Bed,Pressure,Bedroom,9:32:25,1,Friday,Person A
Toilet,Flush,Bathroom,0:00:31,10,Friday,Person A
Cabinet,Magnetic,Bathroom,0:00:06,10,Friday,Person A
Basin,PIR,Bathroom,0:00:10,10,Friday,Person A
Shower,PIR,Bathroom,0:03:23,10,Friday,Person A
Toaster,Electric,Kitchen,0:02:35,11,Friday,Person A
Cupboard,Magnetic,Kitchen,0:00:04,11,Friday,Person A
Fridge,Magnetic,Kitchen,0:00:23,11,Friday,Person A
Cooktop,PIR,Kitchen,0:00:03,11,Friday,Person A
Microwave,Electric,Kitchen,0:01:38,11,Friday,Person A
Seat,Pressure,Living,1:23:22,11,Friday,Person A
Basin,PIR,Bathroom,0:08:54,12,Friday,Person A
Maindoor,Magnetic,Entrance,0:00:04,12,Friday,Person A
Maindoor,Magnetic,Entrance,0:00:04,16,Friday,Person A
Seat,Pressure,Living,0:13:59,16,Friday,Person A
Seat,Pressure,Living,0:52:41,17,Friday,Person A
Basin,PIR,Bathroom,0:00:02,17,Friday,Person A
Maindoor,Magnetic,Entrance,0:00:05,18,Friday,Person A
Maindoor,Magnetic,Entrance,0:00:06,18,Friday,Person A
Seat,Pressure,Living,1:44:37,19,Friday,Person A
Basin,PIR,Bathroom,0:00:13,21,Friday,Person A
Seat,Pressure,Living,3:11:22,21,Friday,Person A
Basin,PIR,Bathroom,0:00:18,0,Saturday,Person A
Seat,Pressure,Living,0:29:08,0,Saturday,Person A
Bed,Pressure,Bedroom,8:35:30,0,Saturday,Person A
Cabinet,Magnetic,Bathroom,0:00:05,9,Saturday,Person A
Basin,PIR,Bathroom,0:08:27,9,Saturday,Person A
Cabinet,Magnetic,Bathroom,0:00:05,9,Saturday,Person A
Basin,PIR,Bathroom,0:00:04,9,Saturday,Person A
Shower,PIR,Bathroom,0:04:58,9,Saturday,Person A
Cupboard,Magnetic,Kitchen,0:00:08,9,Saturday,Person A
Toaster,Electric,Kitchen,0:03:13,9,Saturday,Person A
Cupboard,Magnetic,Kitchen,0:00:02,9,Saturday,Person A
Fridge,Magnetic,Kitchen,0:00:17,9,Saturday,Person A
Microwave,Electric,Kitchen,0:01:20,9,Saturday,Person A
Cooktop,PIR,Kitchen,0:00:03,9,Saturday,Person A
Seat,Pressure,Living,2:30:49,10,Saturday,Person A
Basin,PIR,Bathroom,0:00:45,12,Saturday,Person A
Maindoor,Magnetic,Entrance,0:00:05,13,Saturday,Person A
Maindoor,Magnetic,Entrance,0:00:05,17,Saturday,Person A
Seat,Pressure,Living,3:05:28,17,Saturday,Person A
Basin,PIR,Bathroom,0:01:22,20,Saturday,Person A
Seat,Pressure,Living,1:24:27,1,Sunday,Person A
Bed,Pressure,Bedroom,9:26:19,2,Sunday,Person A
Basin,PIR,Bathroom,0:00:14,12,Sunday,Person A
Shower,PIR,Bathroom,0:15:46,12,Sunday,Person A
Toaster,Electric,Kitchen,0:03:12,12,Sunday,Person A
Cupboard,Magnetic,Kitchen,0:00:02,12,Sunday,Person A
Fridge,Magnetic,Kitchen,0:00:57,12,Sunday,Person A
Microwave,Electric,Kitchen,0:01:58,12,Sunday,Person A
Seat,Pressure,Living,1:53:29,12,Sunday,Person A
Cupboard,Magnetic,Kitchen,0:00:47,14,Sunday,Person A
Cooktop,PIR,Kitchen,0:23:39,14,Sunday,Person A
Cupboard,Magnetic,Kitchen,0:00:10,14,Sunday,Person A
Cupboard,Magnetic,Kitchen,0:01:18,14,Sunday,Person A
Cupboard,Magnetic,Kitchen,0:00:15,14,Sunday,Person A
Fridge,Magnetic,Kitchen,0:00:05,15,Sunday,Person A
Toilet,Flush,Bathroom,0:01:11,15,Sunday,Person A
Basin,PIR,Bathroom,0:01:56,15,Sunday,Person A
Seat,Pressure,Living,3:07:28,21,Sunday,Person B
Door,PIR,Kitchen,0:00:02,0,Monday,Person B
Door,PIR,Living,0:00:12,0,Monday,Person B
Seat,Pressure,Living,0:17:21,0,Monday,Person B
Door,PIR,Living,0:00:03,0,Monday,Person B
Door,PIR,Living,0:00:03,0,Monday,Person B
Door,PIR,Living,0:00:03,1,Monday,Person B
Basin,PIR,Bathroom,0:00:08,1,Monday,Person B
Door,PIR,Bedroom,0:00:04,1,Monday,Person B
Bed,Pressure,Bedroom,7:35:26,1,Monday,Person B
Door,PIR,Bedroom,0:00:03,9,Monday,Person B
Toilet,Flush,Bathroom,0:01:17,9,Monday,Person B
Door,PIR,Kitchen,0:00:03,9,Monday,Person B
Fridge,Magnetic,Kitchen,0:00:15,9,Monday,Person B
Microwave,Electric,Kitchen,0:01:41,9,Monday,Person B
Door,PIR,Kitchen,0:00:02,9,Monday,Person B
Door,PIR,Bedroom,0:00:04,9,Monday,Person B
Door,PIR,Living,0:00:03,9,Monday,Person B
Seat,Pressure,Living,0:17:14,9,Monday,Person B
Door,PIR,Living,0:00:03,10,Monday,Person B
Basin,PIR,Bathroom,0:01:56,10,Monday,Person B
Shower,PIR,Bathroom,0:08:06,10,Monday,Person B
Door,PIR,Living,0:00:01,10,Monday,Person B
Door,PIR,Kitchen,0:00:02,10,Monday,Person B
Door,PIR,Kitchen,0:00:15,10,Monday,Person B
Basin,PIR,Bathroom,0:00:23,10,Monday,Person B
Door,PIR,Kitchen,0:00:02,10,Monday,Person B
Basin,PIR,Bathroom,0:00:02,10,Monday,Person B
Door,PIR,Living,0:00:07,10,Monday,Person B
Door,PIR,Living,0:00:03,11,Monday,Person B
Door,PIR,Kitchen,0:00:03,11,Monday,Person B
Fridge,Magnetic,Kitchen,0:00:23,11,Monday,Person B
Microwave,Electric,Kitchen,0:00:58,11,Monday,Person B
Door,PIR,Kitchen,0:00:05,11,Monday,Person B
Door,PIR,Kitchen,0:00:03,11,Monday,Person B
Fridge,Magnetic,Kitchen,0:01:39,11,Monday,Person B
Fridge,Magnetic,Kitchen,0:00:03,11,Monday,Person B
Door,PIR,Kitchen,0:00:14,11,Monday,Person B
Door,PIR,Living,0:00:10,11,Monday,Person B
Door,PIR,Bedroom,0:00:02,12,Monday,Person B
Toilet,Flush,Bathroom,0:00:40,12,Monday,Person B
Toilet,Flush,Bathroom,0:02:14,12,Monday,Person B
Basin,PIR,Bathroom,0:07:09,13,Monday,Person B
Basin,PIR,Bathroom,0:05:37,13,Monday,Person B
Door,PIR,Living,0:00:51,13,Monday,Person B
Door,PIR,Living,0:00:04,13,Monday,Person B
Door,PIR,Kitchen,0:00:02,13,Monday,Person B
Fridge,Magnetic,Kitchen,0:03:08,13,Monday,Person B
Door,PIR,Kitchen,0:00:03,14,Monday,Person B
Door,PIR,Living,0:00:03,14,Monday,Person B
Door,PIR,Living,0:00:02,14,Monday,Person B
Door,PIR,Kitchen,0:00:03,14,Monday,Person B
Cupboard,Magnetic,Kitchen,0:00:07,14,Monday,Person B
Cupboard,Magnetic,Kitchen,0:00:06,14,Monday,Person B
Door,PIR,Kitchen,0:00:03,14,Monday,Person B
Door,PIR,Living,0:00:03,14,Monday,Person B
Door,PIR,Living,0:00:03,14,Monday,Person B
Door,PIR,Kitchen,0:00:03,14,Monday,Person B
Cupboard,Magnetic,Kitchen,0:00:07,14,Monday,Person B
Door,PIR,Kitchen,0:00:02,14,Monday,Person B
Door,PIR,Living,0:00:02,14,Monday,Person B
Door,PIR,Living,0:00:03,15,Monday,Person B
Door,PIR,Kitchen,0:00:02,15,Monday,Person B
Cupboard,Magnetic,Kitchen,0:00:12,15,Monday,Person B
Door,PIR,Kitchen,0:00:04,15,Monday,Person B
Basin,PIR,Bathroom,0:01:34,15,Monday,Person B
Door,PIR,Living,0:00:03,15,Monday,Person B
Seat,Pressure,Living,0:27:20,15,Monday,Person B
Door,PIR,Living,0:00:06,16,Monday,Person B
Maindoor,Magnetic,Entrance,0:00:07,16,Monday,Person B
Maindoor,Magnetic,Entrance,0:00:03,17,Monday,Person B
Door,PIR,Living,0:00:03,17,Monday,Person B
Door,PIR,Living,0:00:04,17,Monday,Person B
Door,PIR,Kitchen,0:00:03,17,Monday,Person B
Door,PIR,Kitchen,0:00:02,17,Monday,Person B
Door,PIR,Living,0:00:03,17,Monday,Person B
Seat,Pressure,Living,1:01:36,17,Monday,Person B
Door,PIR,Living,0:00:03,18,Monday,Person B
Door,PIR,Kitchen,0:00:04,18,Monday,Person B
Fridge,Magnetic,Kitchen,0:00:16,18,Monday,Person B
Microwave,Electric,Kitchen,0:01:01,18,Monday,Person B
Door,PIR,Kitchen,0:00:03,18,Monday,Person B
Door,PIR,Bedroom,0:00:03,19,Monday,Person B
Door,PIR,Living,0:00:04,19,Monday,Person B
Seat,Pressure,Living,1:53:39,19,Monday,Person B
Door,PIR,Living,0:00:02,20,Monday,Person B
Door,PIR,Bedroom,0:00:12,20,Monday,Person B
Door,PIR,Living,0:00:03,21,Monday,Person B
Door,PIR,Living,0:00:19,21,Monday,Person B
Basin,PIR,Bathroom,0:00:07,21,Monday,Person B
Door,PIR,Living,0:00:04,21,Monday,Person B
Door,PIR,Kitchen,0:00:04,22,Monday,Person B
Cupboard,Magnetic,Kitchen,0:00:35,22,Monday,Person B
Door,PIR,Kitchen,0:00:03,22,Monday,Person B
